id,name
24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven
ed5nwjz5za3oyi20nxzgqivmx,RKC Waalwijk
4vd2t5schmvvufrfib7f2vjdf,Heerenveen
89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam
bk5ltsueqmeng29eovd8m2tml,Willem II
4t4hod56fsj7utpjdor8so5q6,AS Monaco
2sc9xfhu6tbru9hhlhr4a89zn,Saint-Etienne
75qj99fhg5c0ztj2tva5u4uii,Angers
9bxav814mkuhueiyivyive82d,AJ Auxerre
750ustvk4jfqmo8q4gnrcxy7z,Nantes
23pqcgxu1tip265hbe01kszbt,Le Havre
be2k34rut1lz79jxenabttqlc,Lille
2cjpmotqo8phcqfpgo9xf4gel,Montpellier
bx0cdmzr2gwr70ez72dorx82p,Nice
27xvwccz8kpmqsefjv2b2sc0o,Marseille
2b3mar72yy8d6uvat1ka6tn3r,PSG
71ajatxnuhc5cnm3xvgdky49w,Strasbourg
3xedluek08t2ka7oypwuullcn,Lens
3adj8hkws0z1al232bg2h6tk0,Brest
z1wbqtd0fz5t5eezjvrbld3h,Rennes
3c3jcs7vc1t6vz5lev162jyv7,Reims
4aghw9tyi8ba3ju1ne83gmf9w,Toulouse
121le8unjfzug3iu9pgkqa1c7,Lyon
70nn27vgkt6l48lvv5e66q7ww,Lorient
2khen2a38l2hkx33s73pehl6o,Metz
8v00fx2zwhiwm05tqqkt122p5,Paris FC
17o35s8assv3kamxowzz77k4r,Clermont
6xjy1q2m55iiwe8g1r1yffbc9,Ajaccio
3unkqo2g6ag99gd5ynz1j7vse,Troyes
3xcg7xikgrn2x8oa65sopb2is,Heidenheim
a8d2gb2nag8fy0itbuxmcibh2,Union Berlin
1c7qokc1j5z50cjj4tcu32haa,Mainz
dt4pinj0vw0t0cvz7za6mhmzy,Dortmund
7ad69ngbpjuyzv96drf8d9sn2,Leverkusen
go76xxm0xyfgqt1h6tcrtimm,Monchengladbach
c5hderjlkcoaze51e5wgvptk,Eintracht Frankfurt
ex3psl8e3ajeypwjy4xfltpx6,Augsburg
apoawtpvac4zqlancmvw4nk4o,Bayern Munich
85jtaw5dcxxx1yp8te6axh3p8,FC St. Pauli
6zwg0wxjie31da2i4wwh2h4ho,Holstein Kiel
9gefq4dz9b2hl8rqrxwrlrzmp,RB Leipzig
6k5zscdm9ufw0tguvzyjlp5hq,Freiburg
cu0eztmjcsbydyp53aleznorw,Werder Bremen
4l9mrqzmajz5crzlz50mtbt6x,Hoffenheim
3dwlvz6cl4lcavvrg0y2dycrt,Stuttgart
eq1oq6y61xnzq88zu0cnw131z,Bochum
a8l3w3n0j99qjlsxj3jnmgkz1,Wolfsburg
75xi6hloabmnjn2kzgj1g8h1s,Hamburg
8q1ul09cygzswb7tb456bmifv,FC Koln
1y7e48j8swyafegsucvewse5a,Darmstadt
cz4a6wmzx2obyisadhgaccx7b,FC Schalke
f0w62l8zql3tukxsy8fqwp72x,Hertha Berlin
36g6ifzjliec1jqnbtf7yesme,Aalborg
5rz9enoyknpg8ji78za5b82p0,Aarhus
9qsmopgutr7ut5g6workk8w4i,Brondby
b3r6d8ydtmtjckam6pku9y400,Kobenhaven
59as3grjvj19voay31j3yfgni,Midtjylland
77tfx9me4aaqhzv78bmgsy9bg,Nordsjaelland
anga7587r1zv4ey71ge9zxol3,Lyngby
9w3sjm5ml4sjr2v81oxzdrt8v,Randers
ahnt9ejgwj58ul8auzdvi3czf,Silkeborg
aljua8crr0vkwit0j3m59jw9j,Sondersjysk
c165yjiny1qnmfdvefxvflnkc,Vejle
cftj6g399tknheudaxsdpfdgb,Viborg
6wwwud48qahpwrfxs20334qk5,FC Fredericia
dbl7ir1qugqz8nvp1vzn8im50,Odense
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre
a9vw7ikerpr4cuweeeka5aneg,Horsens
3ix9om1svhd6obl0mbk1otgop,Cercle Brugge
